Video ID,Title,Duration,Views,Captioned,ASR Languages,Edited Languages
ogSB47PdYjA,Searchworks Indexing &amp; Performance Sprint 3 Demo,00:26:23,26,false,en,""
e4144oq3iUI,Exhibits - Winter 2021 - Final Demo,00:14:44,33,false,en,""
oRgCXxynljg,"Histonets Demo 7 - August 14, 2017",00:04:27,11,false,en,""
-tF3DZzLsxw,Spotlight Service Community Call - demo 2 - 12 February 2021,00:07:16,27,false,en,""
VATmIhSmh6s,Web Archiving Crawl Download Automation Demo 2,00:04:20,44,false,en,""
NtnWbqQnCoA,H2 Work Cycle 2022 Sprint 3 Demo,00:05:39,39,false,en,""
EZ9p0srxTCo,SDR Preservation Sprint 5,00:03:06,9,false,en,""
cMtWJi-79S8,TACO Sprint Demo - 04-06-2018,00:17:20,2,false,en,""
JhSncav-cPU,Preservation Sprint 8 Demo,00:08:21,13,false,en,""
IAekfhmqB2g,Sinopia Release 1.3.0 Demo,00:11:53,26,false,en,""
EZ9p0srxTCo,SDR Preservation Sprint 5,00:03:06,9,false,en,""
HAw_n-r2kJM,Spotlight/Virtual Tribunals Final Demo,00:39:15,90,false,en,""
jqAwQ8ln9PQ,Spotlight/Virtual Tribunals Sprint 8-9 Demo,00:19:38,38,false,en,""
6FcNaipZV2M,"Sinopia Release 3.1.0 (Work Cycle 3, Sprint 1)",00:12:35,71,false,en,""
U5eKkGC-5vY,LD4P tracer bullet 1 - demo 1,00:05:55,51,false,en,""
r4Po8sdkZOc,Spotlight on Spotlight Community Summit - Session 2,00:45:51,29,true,en,en-US
q4PN7AiuLP0,Spotlight Sprint 12 Demo,00:08:00,53,false,en,""
VW4Gu4k0pes,TACO Sprint 1 Demo,00:15:51,16,false,en,""
4QU9ta9GmPc,Wallscreens - Sprint #5 Demo - Final,00:11:11,90,false,en,""
IV_24mzIr9M,Preservation Sprint 18 Demo,00:10:56,9,false,en,""
VATmIhSmh6s,Web Archiving Crawl Download Automation Demo 2,00:04:20,44,false,en,""
OxP6OOc5kbo,LD4P Data Pipeline Sprint 0 Demo,00:08:18,30,false,en,""
gnQk1QwP85s,Spotlight Virtual Tribunals Sprint 12 Demo,00:09:01,19,false,en,""
8N0Wba8NiJ4,H2 Sprint 3 Demo,00:08:50,16,false,en,""
29BcOpwfIXA,"Parker 2.0 Sprint 8 Demo, November 27, 2017",00:04:52,16,false,en,""
KjFXCCSH9L0,SpotlightServiceCommunityCall demo2 14Aug2020,00:16:19,26,false,en,""
bkiKKReBiO0,System Status Dashboard Demo,00:12:57,143,false,en,""
r7YHherl9o0,"Nuremberg Trial Archives in Arclight, Sprint 2 Demo",00:16:30,43,true,en,en
-vnKSrOjjH4,Wallscreens - Sprint #3 Demo,00:05:27,31,false,en,""
Aq0gg_PBMp0,SpotlightServiceCommunityCall demo2 10Jul2020,00:18:59,16,false,en,""
QcJmNAauuUM,SpotlightServiceCommunityCall 6Apr2018,00:40:10,32,false,en,""
oR-kcW9mWcs,DLME - Winter 2021 - Demo 1,00:09:16,100,false,en,""
R7p1RYaN6b0,H2 WC4 Sprint 3 Demo,00:03:34,24,false,en,""
hl96vTWCV5M,dorindexing sprint demo,00:06:08,16,false,en,""
qsr8k5swuP8,"H2 Sprint 1 Demo, Workcycle 2 (2021)",00:06:55,12,false,en,""
JwMVjc6fF6E,SearchWorks Fall 2018 Presentation of digital content Demo,00:04:34,16,false,en,""
du9epwp-8og,H2 Work Cycle 2022 Sprint 2 Demo,00:06:39,34,false,en,""
G2994vbDgxM,Media Team Sprint 3 Demo,00:05:31,24,false,en,""
y-3wlN4Fz3g,SpotlightServiceCommunityCall 2Mar2018,00:46:15,149,false,en,""
LAoTIdP2Gsk,Spotlight Sprint 1 Demo,00:22:15,613,false,en,""
EbzHb31kpYo,Preservation Sprint 14 Demo,00:06:16,7,false,en,""
WG18ywKEB6A,SpotlightServiceCommunityCall 10Aug2018,00:31:22,22,false,en,""
7_yliTkFmWI,Spotlight/Virtual Tribunals Sprint 13 Demo,00:14:33,12,false,en,""
BvdKcVnxg9o,H2 WC3 Sprint 3 Demo,00:08:00,11,false,en,""
8Y7e8J5fVVI,"Nuremberg Trial Archives in Arclight, Sprint 4 Demo",00:08:03,25,false,en,""
FM7WoZ5iCcA,"Noh Theater Demo, Sep. 24, 2018",00:01:17,3,false,en,""
kFd7JDDZR8g,Argo Demo Sprint 4,00:10:51,40,false,en,""
4wdn0s8pRXg,Wallscreens - Sprint #4 Demo,00:07:02,19,false,en,""
hht8Kjg5vQo,Preservation Sprint 11,00:07:12,16,false,en,""
wZmXP5DxFPk,LD4P Reset Sprint Final Demo,00:16:46,26,false,en,""
YblSo5aHygc,Preservation Sprint 15 Demo,00:06:30,6,false,en,""
sYIhLTwjXos,"Noh Theater Demo, Oct. 1, 2018",00:03:17,8,false,en,""
tjBDBJHXr0A,FOLIO Circulation Log Training,00:42:54,217,true,en,en
ZFc5kkr8sXE,SDR Infrastructure Workcycle - Fall 2019 - Video 1,00:07:15,9,false,en,""
2leWm0RM1oU,TACO Sprint Demo,00:08:36,2,false,en,""
0315PmP9mKg,H2 Sprint 2 Demo 2021,00:07:23,16,false,en,""
xaRTYx-LZWA,Exhibits   Winter 2021   Sprint 1 Demo 2,00:15:50,9,false,en,""
n44N8-n7-4k,Sinopia Sprint 4 Demo,00:16:56,42,false,en,""
tk9vsPpdcw0,RIALTO Terraform Demo,00:12:52,50,false,en,""
KeX2Hlm3b8w,Spotlight Sprint 2 - Summer 2016,00:09:05,83,false,en,""
